DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,0.75102,0.75915,0.74939,0.75737,136338.85
20040104,0.75793,0.769,0.75719,0.76719,151371.57
20040105,0.76766,0.77265,0.76553,0.7691,142447.03
20040106,0.76912,0.77055,0.76477,0.7678,136009.45
20040107,0.76778,0.77571,0.76473,0.77502,146305.934
20040108,0.77507,0.7783,0.77064,0.77609,141148.27
20040111,0.77713,0.77995,0.77436,0.7769,150871.46
20040112,0.77705,0.78115,0.77449,0.77869,144893.2
20040113,0.77862,0.78011,0.77278,0.77289,133330.51
20040114,0.77326,0.77665,0.76838,0.76999,145861.904
20040115,0.76979,0.77199,0.76072,0.76272,140765.42
20040118,0.7625,0.76358,0.75236,0.75465,151579.49
20040119,0.75491,0.76995,0.753,0.76692,143410.04
20040120,0.76711,0.77457,0.7654,0.77323,135142.89
20040121,0.77347,0.7794,0.77145,0.77785,144565.526
20040122,0.77809,0.77965,0.77009,0.77079,141285.79
20040125,0.76983,0.77718,0.76772,0.76843,152078.86
20040126,0.76846,0.78125,0.76718,0.77859,145103.65
20040127,0.77846,0.78105,0.76975,0.76988,136414.24
20040128,0.77001,0.7745,0.75713,0.75999,148147.027
20040129,0.75984,0.76496,0.7542,0.7635,143158.53
20040201,0.76282,0.7653,0.75528,0.7581,2431700.786
20040202,0.75825,0.7673,0.75745,0.76529,2472246.333
20040203,0.76499,0.7671,0.75831,0.76123,2470298.958
20040204,0.76143,0.767,0.75945,0.76075,2454768.301
20040205,0.76063,0.77095,0.76035,0.77002,2458811.256
20040208,0.76566,0.77825,0.7643,0.77621,2473390.097
20040209,0.77676,0.78352,0.7748,0.77849,2456430.682
20040210,0.77846,0.78925,0.7761,0.78739,2475298.095
20040211,0.7879,0.78962,0.78507,0.78893,2468028.74
20040212,0.78883,0.7943,0.78602,0.78937,2448519.617
20040215,0.78916,0.79335,0.78862,0.79205,2444132.499
20040216,0.7924,0.79873,0.7905,0.79794,2472960.98
20040217,0.79798,0.80022,0.78685,0.78911,2477536.63
20040218,0.78933,0.79286,0.78625,0.79096,2485484.259
20040219,0.79103,0.79322,0.76357,0.77084,2485722.105
20040222,0.76975,0.7754,0.76492,0.77112,2463134.985
20040223,0.77126,0.78155,0.76881,0.77921,2466976.748
20040224,0.77929,0.78158,0.77006,0.77136,2480347.377
20040225,0.77137,0.77395,0.766,0.77079,2458234.116
20040226,0.77106,0.77435,0.76554,0.7732,2474069.39
20040229,0.77254,0.77655,0.77021,0.77215,2454521.11
20040301,0.77224,0.77415,0.7593,0.76291,2463574.88
20040302,0.76314,0.76418,0.7397,0.74892,2471482.443
20040303,0.74925,0.75553,0.74684,0.75074,2452739.454
20040304,0.75106,0.76235,0.74795,0.75891,2485749.403
20040307,0.76035,0.76052,0.75367,0.75912,2462132.733
20040308,0.7593,0.76565,0.7562,0.75806,2444525.67
20040309,0.7583,0.75915,0.7444,0.74469,2462342.564
