DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,1.2542,1.26263,1.25198,1.25806,1337402.5
20040104,1.25816,1.26924,1.25785,1.26727,1354226
20040105,1.2672,1.28083,1.2665,1.2723,1349584.7
20040106,1.2723,1.27404,1.26221,1.26296,1348413.5
20040107,1.2629,1.27786,1.25576,1.27635,1350773.3
20040108,1.27637,1.28665,1.27021,1.28123,1336174.4
20040111,1.28522,1.28956,1.27328,1.27467,1337453.5
20040112,1.27457,1.27947,1.27114,1.27698,1348261.7
20040113,1.2772,1.27871,1.26276,1.26447,1338604.4
20040114,1.2644,1.26693,1.25562,1.25756,1357261
20040115,1.25743,1.26071,1.23494,1.23936,1342086.8
20040118,1.2366,1.24226,1.23323,1.23468,1343510
20040119,1.2348,1.2594,1.23411,1.25767,1345896.9
20040120,1.2577,1.26695,1.25488,1.26409,1354933.6
20040121,1.26389,1.27475,1.26328,1.27169,1346658.1
20040122,1.27148,1.27732,1.25621,1.25781,1353179.4
20040125,1.25726,1.26095,1.24557,1.24565,1356641.8
20040126,1.24588,1.26503,1.24391,1.26404,1316419.2
20040127,1.26429,1.26608,1.24618,1.24655,1344965.3
20040128,1.24665,1.25252,1.23607,1.24046,1337715.2
20040129,1.24046,1.24897,1.23491,1.24731,1354824.9
20040201,1.2468,1.24848,1.23882,1.24221,1348842.8
20040202,1.24232,1.25967,1.24124,1.25381,1349861.8
20040203,1.25407,1.25593,1.24919,1.25323,1358026.4
20040204,1.25329,1.26348,1.25157,1.2544,1353343.2
20040205,1.25455,1.27226,1.251,1.27,1351709.2
20040208,1.26038,1.27589,1.25963,1.26929,1364520
20040209,1.26954,1.27848,1.26649,1.26679,1369838.6
20040210,1.26682,1.28364,1.26482,1.28295,1361071.1
20040211,1.28319,1.28432,1.27873,1.28058,1358831.2
20040212,1.28061,1.28898,1.27135,1.27305,1367540.2
20040215,1.27428,1.2787,1.27139,1.27671,1350759.9
20040216,1.27679,1.28751,1.27533,1.28372,1365674
20040217,1.28395,1.29247,1.26561,1.26849,1359136.5
20040218,1.2686,1.27342,1.26516,1.27102,1345748.4
20040219,1.27112,1.27643,1.24928,1.25319,1358803
20040222,1.25247,1.25932,1.24494,1.25522,1368480.6
20040223,1.25552,1.27115,1.25203,1.26815,1345493.9
20040224,1.26822,1.27039,1.24716,1.24973,1362384.9
20040225,1.24982,1.25129,1.23826,1.24366,1346051.3
20040226,1.24361,1.25049,1.23718,1.24887,1347994.3
20040229,1.2482,1.25398,1.24215,1.24527,1350394.4
20040301,1.24539,1.24673,1.21938,1.22126,1359050.1
20040302,1.22121,1.22209,1.20546,1.21998,1343582.5
20040303,1.22009,1.2238,1.21334,1.22004,1352416.7
20040304,1.21985,1.24275,1.21731,1.23642,1347506
20040307,1.23857,1.2415,1.23359,1.24013,1360393.1
20040308,1.2402,1.24573,1.22716,1.2324,1358591.4
