DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,1.78282,1.79467,1.77832,1.79294,153500.424
20040104,1.79155,1.81013,1.79143,1.80636,154988.259
20040105,1.80633,1.82746,1.80439,1.82125,163951.018
20040106,1.8213,1.82556,1.81189,1.81747,162633.819
20040107,1.81773,1.836,1.81032,1.83351,171656.897
20040108,1.8333,1.84938,1.82752,1.8474,161267.177
20040111,1.84698,1.85759,1.84467,1.84545,161090.2699
20040112,1.8455,1.85339,1.8397,1.8473,165412.339
20040113,1.84703,1.84857,1.83092,1.83251,158815.56
20040114,1.83269,1.83451,1.81766,1.8222,160775.794
20040115,1.82234,1.82656,1.79288,1.79792,160774.284
20040118,1.79634,1.80176,1.78198,1.78285,157989.877
20040119,1.78295,1.8216,1.78211,1.82039,158774.012
20040120,1.8203,1.83682,1.81446,1.83208,164211.215
20040121,1.83219,1.84749,1.83087,1.84422,160988.279
20040122,1.84411,1.85194,1.8168,1.82569,161627.375
20040125,1.82277,1.83052,1.81029,1.81448,161381.44
20040126,1.81437,1.82877,1.80175,1.82747,165345.437
20040127,1.82751,1.83805,1.81675,1.81836,160138.166
20040128,1.81806,1.82661,1.80841,1.81599,195463.51
20040129,1.81588,1.8259,1.80571,1.82377,168988.078
20040201,1.82261,1.82685,1.81334,1.81922,164335.997
20040202,1.81919,1.84213,1.8189,1.83885,161756.93
20040203,1.83895,1.83988,1.8281,1.83137,162126.301
20040204,1.83128,1.84226,1.83004,1.83419,161776.047
20040205,1.8341,1.85143,1.83121,1.84714,162688.869
20040208,1.84311,1.86255,1.84025,1.86072,168027.014
20040209,1.86068,1.87307,1.85774,1.8675,161543.9479
20040210,1.86766,1.89186,1.86451,1.89066,162177.264
20040211,1.89095,1.89509,1.8877,1.89234,165750.164
20040212,1.89231,1.8984,1.87836,1.885,161135.528
20040215,1.88374,1.8914,1.88105,1.88977,159685.729
20040216,1.88988,1.908,1.8865,1.90458,163258.547
20040217,1.90445,1.91378,1.88369,1.88866,161811.2579
20040218,1.8889,1.89754,1.88621,1.8938,161859.07
20040219,1.89415,1.89956,1.85606,1.86118,162317.745
20040222,1.86013,1.87036,1.8455,1.86767,162384.4839
20040223,1.86776,1.89364,1.86194,1.89106,160197.517
20040224,1.89091,1.89425,1.86885,1.87001,172912.814
20040225,1.87007,1.87748,1.85486,1.86169,161767.373
20040226,1.86158,1.86852,1.84667,1.8681,164522.1979
20040229,1.86728,1.87443,1.864,1.86909,163034.7619
20040301,1.86912,1.87027,1.83473,1.84041,166922.474
20040302,1.84079,1.84084,1.81534,1.82959,162845.526
20040303,1.8294,1.83716,1.8197,1.82329,162934.329
20040304,1.82309,1.84935,1.81726,1.84579,160371.87
20040307,1.84788,1.85418,1.84164,1.85046,162332.854
20040308,1.85065,1.85841,1.82184,1.82665,166847.617
20040309,1.8269,1.82805,1.79596,1.80206,163596.708
20040310,1.8021,1.81475,1.7925,1.81109,161434.431
20040311,1.81106,1.81383,1.79043,1.80326,160992.647
20040314,1.79585,1.81153,1.79397,1.80506,160001.751
20040315,1.80507,1.81937,1.80005,1.81222,160188.734
20040316,1.81245,1.81798,1.8065,1.81647,161378.351
20040317,1.81645,1.84005,1.8153,1.83485,162483.047
20040318,1.83487,1.83669,1.82526,1.83316,159841.677
20040321,1.83286,1.8496,1.82617,1.84653,159797.668
20040322,1.84672,1.85366,1.84049,1.84952,162447.091
20040323,1.8493,1.85374,1.82163,1.82542,169058.212
20040324,1.82522,1.82587,1.79894,1.80673,169672.728
20040325,1.80646,1.82325,1.80012,1.81576,164251.258
20040328,1.8127,1.82236,1.80642,1.81897,165651.077
20040329,1.81888,1.83005,1.81742,1.82711,165903.457
20040330,1.82718,1.84605,1.82418,1.84598,162823.237
20040331,1.84581,1.85995,1.83782,1.8569,161783.931
20040401,1.85689,1.8572,1.82604,1.82857,162950.052
20040404,1.8288,1.83037,1.81048,1.82072,162287.474
