DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,1.29585,1.29785,1.28609,1.28758,168909.45
20040104,1.28678,1.28889,1.27722,1.28148,188925.67
20040105,1.28143,1.28633,1.27653,1.28566,185475.66
20040106,1.28573,1.29235,1.28385,1.28816,193357.13
20040107,1.28832,1.29471,1.27486,1.27816,188425.6
20040108,1.27822,1.28304,1.26768,1.27133,183645.62
20040111,1.27054,1.2766,1.26835,1.27522,184447.63
20040112,1.2749,1.27821,1.26869,1.2711,194750.81
20040113,1.27148,1.29117,1.27034,1.28977,191047.14
20040114,1.28979,1.29898,1.28668,1.29374,187833.63
20040115,1.29383,1.30213,1.29221,1.29866,193346.53
20040118,1.29875,1.30425,1.29835,1.30141,183415.04
20040119,1.30132,1.30322,1.28475,1.29115,184761.74
20040120,1.2912,1.30405,1.28627,1.30068,193319.44
20040121,1.30063,1.30537,1.29259,1.29605,194995.8
20040122,1.29618,1.31933,1.29373,1.31325,201021.92
20040125,1.31363,1.316,1.30785,1.31517,190448.52
20040126,1.31528,1.31637,1.30322,1.30511,189014.31
20040127,1.30505,1.32704,1.30452,1.32704,199139.03
20040128,1.3273,1.33586,1.32427,1.33,226506.93
20040129,1.3303,1.33522,1.32254,1.32487,201455.14
20040201,1.32398,1.34256,1.32398,1.33878,180413.59
20040202,1.33852,1.33881,1.32732,1.33695,200193.49
20040203,1.33693,1.34265,1.33097,1.33308,195788.04
20040204,1.33335,1.33947,1.32832,1.33725,191435.54
20040205,1.33707,1.34073,1.32302,1.3235,192738.46
20040208,1.32612,1.33076,1.32141,1.32816,203111.54
20040209,1.32814,1.33281,1.3214,1.33117,204233.23
20040210,1.33125,1.33403,1.31183,1.31302,203220.45
20040211,1.31327,1.32154,1.31249,1.31835,195046.72
20040212,1.31837,1.32309,1.30659,1.31628,216644.53
20040215,1.31554,1.31923,1.31368,1.31475,189730.84
20040216,1.3152,1.31714,1.30738,1.30954,191427.47
20040217,1.30968,1.32679,1.30805,1.32268,196310.34
20040218,1.32282,1.33449,1.32174,1.33148,199084.61
20040219,1.3311,1.3507,1.32699,1.33432,205343.44
20040222,1.33705,1.34306,1.33368,1.33678,197122.56
20040223,1.33676,1.33959,1.3257,1.32919,212898.82
20040224,1.32918,1.34024,1.32581,1.33329,198468.11
20040225,1.33318,1.34765,1.33261,1.34059,200136.53
20040226,1.34085,1.34998,1.33333,1.33333,202237.07
20040229,1.33508,1.34037,1.33264,1.33741,219973.72
20040301,1.33738,1.34524,1.33614,1.34207,199268.64
20040302,1.34202,1.35818,1.33683,1.33938,201052.67
20040303,1.33947,1.34276,1.33052,1.33219,204451.02
20040304,1.33223,1.33616,1.31525,1.32117,198733.75
20040307,1.32033,1.32686,1.31767,1.31937,200439.64
20040308,1.31952,1.32632,1.31695,1.32292,207589.94
20040309,1.32307,1.33027,1.3191,1.32455,196794.06
20040310,1.32431,1.32938,1.31766,1.31899,204103.53
20040311,1.31893,1.33843,1.31589,1.33347,206055.27
20040314,1.33463,1.3354,1.32715,1.33375,193621.97
20040315,1.33383,1.33504,1.32461,1.33235,200525.81
20040316,1.3324,1.34375,1.32997,1.33795,198815.66
20040317,1.33808,1.34152,1.32397,1.32715,210095.6
20040318,1.32719,1.33428,1.32528,1.33341,190279.5
20040321,1.33358,1.33516,1.32392,1.33409,200725.93
20040322,1.3342,1.33491,1.32869,1.33201,188358.64
20040323,1.33217,1.34294,1.32966,1.34165,199422.71
20040324,1.34171,1.34283,1.326,1.3304,200547.84
20040325,1.3306,1.33141,1.31626,1.31778,200954.16
20040328,1.3185,1.32119,1.30537,1.30915,210466.95
20040329,1.30905,1.30968,1.305,1.30595,187425.06
20040330,1.30571,1.31532,1.30073,1.3088,205730.92
20040331,1.30883,1.31895,1.30521,1.30664,208399.61
20040401,1.30687,1.31869,1.30393,1.31395,196131.77
20040404,1.31349,1.31763,1.30989,1.31329,197016.36
20040405,1.31308,1.31803,1.30342,1.30809,201324.72
20040406,1.30793,1.31681,1.30561,1.30775,201722.65
20040407,1.30774,1.32925,1.30774,1.32638,198461.66
20040408,1.32635,1.32957,1.32537,1.3275,160325.58
20040411,1.32738,1.34028,1.32576,1.33443,192616.04
20040412,1.33471,1.3412,1.33188,1.33454,210357.35
20040413,1.33454,1.34947,1.33265,1.34377,201369.44
20040414,1.34378,1.34907,1.34023,1.34236,201895.22
20040415,1.34258,1.34835,1.33996,1.34425,204644.74
20040418,1.34434,1.34801,1.34175,1.34357,188330.54
