DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,1.2439,1.24538,1.23408,1.23874,351393.595
20040104,1.23838,1.23918,1.2282,1.23184,360456.726
20040105,1.23174,1.23344,1.22403,1.23118,354080.951
20040106,1.23145,1.24097,1.2303,1.24048,358794.526
20040107,1.24015,1.24844,1.22379,1.22569,356653.375
20040108,1.22516,1.23318,1.21623,1.22212,355831.775
20040111,1.21836,1.2287,1.21367,1.22681,351508.87
20040112,1.2269,1.23024,1.22024,1.2209,361914.35
20040113,1.2208,1.23535,1.21852,1.2324,362650.148
20040114,1.2323,1.2472,1.23042,1.24525,360548.751
20040115,1.24534,1.26952,1.24211,1.26437,357925.646
20040118,1.26678,1.2722,1.26282,1.27056,358505.1
20040119,1.27057,1.27127,1.24487,1.24676,355445.344
20040120,1.2467,1.25036,1.23849,1.23955,361059.675
20040121,1.23955,1.24094,1.22953,1.23226,359729.205
20040122,1.23215,1.24668,1.22689,1.2426,360529.976
20040125,1.24247,1.25795,1.24012,1.25747,363139.8
20040126,1.25744,1.25875,1.23778,1.23919,349628.225
20040127,1.23897,1.25652,1.23726,1.25611,363631.255
20040128,1.25649,1.26345,1.2479,1.2591,357081.475
20040129,1.2592,1.26592,1.25161,1.2561,363973.931
20040201,1.25639,1.2658,1.25508,1.26145,358484.3
20040202,1.26155,1.26274,1.24263,1.24861,359651.276
20040203,1.24855,1.25486,1.24748,1.25044,357933.775
20040204,1.25051,1.25186,1.2399,1.25002,358640.88
20040205,1.25005,1.25469,1.23031,1.23369,359075.977
20040208,1.24319,1.24499,1.22906,1.23463,364034.025
20040209,1.23463,1.2386,1.22578,1.23823,359380.449
20040210,1.23823,1.24292,1.22665,1.22912,368828.9
20040211,1.2292,1.23271,1.22658,1.23065,362334.62
20040212,1.23057,1.24053,1.22347,1.23805,358225.002
20040215,1.23609,1.23954,1.23104,1.23351,357857.176
20040216,1.23356,1.23471,1.22215,1.22632,356430.45
20040217,1.22626,1.24386,1.21816,1.24137,361158.675
20040218,1.24115,1.24615,1.23721,1.2389,364943.851
20040219,1.23908,1.26434,1.23345,1.25881,360696.525
20040222,1.26096,1.26648,1.25315,1.25672,359677
20040223,1.25663,1.25969,1.23682,1.24104,358981.3
20040224,1.24105,1.26201,1.23884,1.2589,361753.325
20040225,1.25867,1.27102,1.25666,1.26681,357750.1
20040226,1.26688,1.27549,1.25959,1.26188,357325.977
20040229,1.26213,1.27047,1.25619,1.26649,360648.975
20040301,1.26635,1.29855,1.26605,1.29544,358907.85
20040302,1.29555,1.30736,1.29069,1.29211,361602.3
20040303,1.29193,1.30094,1.28901,1.29208,362715.07
20040304,1.29192,1.29608,1.26766,1.27685,361100.225
20040307,1.27384,1.28086,1.27295,1.27393,360306.8
20040308,1.27416,1.28566,1.26574,1.28055,363137.675
20040309,1.28046,1.29212,1.27758,1.28851,360154.356
20040310,1.28853,1.2922,1.26218,1.26645,359131.47
20040311,1.26637,1.28749,1.26439,1.2833,360299.025
20040314,1.2826,1.28292,1.27018,1.2755,360474.626
20040315,1.27549,1.28185,1.26582,1.27751,357194.275
20040316,1.27743,1.28574,1.27304,1.27687,358511.475
20040317,1.27682,1.27852,1.25197,1.25713,362625
20040318,1.2572,1.27394,1.2556,1.26924,366088.769
20040321,1.26934,1.27574,1.25349,1.25783,358252.875
20040322,1.25754,1.26533,1.25151,1.25735,360778.948
20040323,1.25752,1.27838,1.25382,1.27645,361112.5
20040324,1.27652,1.28128,1.27224,1.2802,362047.851
20040325,1.28017,1.28883,1.27395,1.28396,363154.476
20040328,1.28485,1.29076,1.28151,1.28384,362895.323
20040329,1.28403,1.28486,1.27523,1.28123,344361.05
20040330,1.28127,1.28189,1.26237,1.2653,362296.475
20040331,1.26555,1.27105,1.25942,1.26301,357633.549
20040401,1.26282,1.29335,1.2615,1.28987,360136.725
20040404,1.29091,1.30776,1.29038,1.30353,363443.95
20040405,1.30339,1.30735,1.28721,1.28923,362643.378
20040406,1.28897,1.29607,1.27271,1.27635,365369.627
20040407,1.276,1.28585,1.27088,1.28198,363018.827
20040408,1.28169,1.28407,1.27889,1.28212,324436.6
20040411,1.28151,1.2869,1.28015,1.28193,354130.002
20040412,1.28217,1.30485,1.28109,1.29913,352426.155
20040413,1.29892,1.30497,1.29625,1.29749,366592.425
20040414,1.29728,1.30523,1.28847,1.29477,375302.853
20040415,1.2944,1.30276,1.28775,1.29466,362849.201
20040418,1.29034,1.29313,1.28246,1.28862,360072.549
20040419,1.28882,1.31428,1.28874,1.31117,367629.045
20040420,1.31095,1.31717,1.30391,1.31279,364662.025
20040421,1.31243,1.31901,1.30677,1.30811,356466.224
20040422,1.308,1.32041,1.30521,1.31445,362163.35
20040425,1.31734,1.32235,1.30394,1.30682,360631.5
20040426,1.30662,1.31061,1.29529,1.2983,359467.053
20040427,1.29817,1.31003,1.29528,1.30646,365139.2
20040428,1.30639,1.30979,1.28854,1.29242,361704.046
20040429,1.29243,1.30095,1.28825,1.2954,359764.777
20040502,1.29457,1.30302,1.29284,1.30021,365861.851
20040503,1.30022,1.30211,1.27924,1.28101,362802.652
20040504,1.28111,1.28176,1.26972,1.27383,364044.43
20040505,1.2737,1.28616,1.27348,1.28335,357928.275
20040506,1.28312,1.30301,1.27623,1.30182,366934.751
20040509,1.30225,1.30722,1.29648,1.29826,364024.651
20040510,1.29802,1.30816,1.2958,1.29595,364563.075
20040511,1.29565,1.30084,1.28738,1.29431,363596.6
20040512,1.29417,1.30878,1.2895,1.30151,363195.375
20040513,1.30155,1.30618,1.29335,1.29559,368470.85
20040516,1.2955,1.29706,1.26934,1.27528,368577.1
20040517,1.27515,1.28496,1.27386,1.28315,362848.175
20040518,1.28278,1.28501,1.2749,1.27722,361080.25
20040519,1.27695,1.2918,1.27601,1.28477,363173.5
20040520,1.28443,1.28671,1.27193,1.28274,363375.551
20040523,1.28182,1.28688,1.27582,1.27844,362621.55
20040524,1.27838,1.28074,1.2662,1.27164,367447.974
20040525,1.27165,1.27388,1.26537,1.27162,362155.151
20040526,1.27157,1.2736,1.24317,1.24525,365594.6
20040527,1.24502,1.25491,1.24273,1.25193,362304.325
20040530,1.25035,1.25517,1.24763,1.25375,302473.65
20040531,1.25382,1.25697,1.24508,1.24632,362777.331
20040601,1.24598,1.25143,1.24085,1.24984,363297.15
20040602,1.24963,1.25353,1.24547,1.24952,362095.5
20040603,1.24927,1.2571,1.23722,1.23943,364102.581
20040606,1.23992,1.24086,1.23383,1.2368,368820.8
20040607,1.23653,1.24257,1.23199,1.23742,364949.25
20040608,1.23704,1.25656,1.23671,1.25414,366437.85
20040609,1.2541,1.25739,1.24275,1.24486,356517.8
20040610,1.2449,1.26125,1.24366,1.25976,361742.4
20040613,1.25977,1.2663,1.25381,1.256,364778.223
20040614,1.25581,1.26246,1.2471,1.24939,364593.949
20040615,1.24913,1.27029,1.24749,1.26624,365993.875
20040616,1.26602,1.26845,1.24969,1.25212,364142.476
20040617,1.25165,1.26276,1.2419,1.24429,360481.602
20040620,1.2437,1.24969,1.24182,1.24575,364632.555
20040621,1.24569,1.25395,1.24497,1.24955,361590.027
20040622,1.24924,1.25715,1.24296,1.25298,361365.2
20040623,1.25267,1.25711,1.23868,1.24454,365314.07
20040624,1.24437,1.25288,1.24244,1.24635,362299.945
20040627,1.24715,1.25522,1.24343,1.2488,359416.95
20040628,1.24828,1.26752,1.24786,1.26563,359631.875
20040629,1.26546,1.26695,1.24779,1.24855,358195.529
20040630,1.24828,1.25641,1.24704,1.24901,359826.7
20040701,1.24877,1.25191,1.22965,1.23291,362260
20040704,1.2317,1.23764,1.2266,1.23587,359023.775
20040705,1.2355,1.23864,1.23063,1.23671,359804.355
20040706,1.2369,1.23726,1.22539,1.22665,364801.951
20040707,1.22633,1.23071,1.22306,1.22539,364795.049
20040708,1.22525,1.22918,1.22129,1.22245,362764.576
20040711,1.22297,1.22609,1.22038,1.22458,360033
20040712,1.22469,1.23901,1.22408,1.2358,365370.5
20040713,1.23548,1.23714,1.22519,1.22916,358988.8
20040714,1.22929,1.24068,1.22854,1.23637,363491.3
20040715,1.23588,1.23923,1.223,1.22471,365722.151
20040718,1.22551,1.2312,1.22373,1.22767,361403.18
20040719,1.22723,1.24694,1.22667,1.24425,362592.675
20040720,1.24382,1.258,1.24083,1.2498,361961.65
20040721,1.24939,1.25325,1.24351,1.24865,363603.376
20040722,1.2484,1.26822,1.24734,1.26733,365134.551
20040725,1.2668,1.26825,1.25871,1.26465,355760.351
20040726,1.26408,1.27762,1.25975,1.2754,364472.675
20040727,1.2752,1.2797,1.2716,1.27516,361585.05
20040728,1.27485,1.28415,1.27127,1.28016,366371.724
20040729,1.27992,1.28305,1.26932,1.28152,363483.075
20040801,1.2811,1.2811,1.26871,1.27886,363089.75
20040802,1.27887,1.28296,1.27542,1.27781,358293.325
20040803,1.27739,1.28572,1.27296,1.27635,362421.73
20040804,1.27575,1.27975,1.27297,1.27532,360664.25
20040805,1.27512,1.29685,1.24917,1.2505,361213.851
20040808,1.2501,1.2571,1.24937,1.25359,363934.5
20040809,1.25343,1.26311,1.24904,1.2619,358248.473
20040810,1.26161,1.26462,1.25876,1.26131,356699.125
20040811,1.26076,1.26185,1.25127,1.25595,359635.453
20040812,1.2557,1.26267,1.23761,1.23831,358085.002
20040815,1.23808,1.24528,1.2375,1.24041,362664.051
20040816,1.24003,1.24758,1.23772,1.24325,362477.75
20040817,1.24273,1.25079,1.24197,1.24422,361503.551
20040818,1.24422,1.24577,1.23983,1.24299,362563.875
20040819,1.24265,1.25333,1.24034,1.24987,363361.045
20040822,1.25047,1.27106,1.2496,1.26924,365289.95
20040823,1.2691,1.27512,1.26622,1.27228,364060.875
20040824,1.27242,1.27624,1.26966,1.27345,364038.3
20040825,1.27283,1.27785,1.27057,1.27192,362039.575
20040826,1.27186,1.28478,1.26925,1.28245,361480.301
20040829,1.2817,1.28471,1.2755,1.27954,359593.527
20040830,1.27937,1.27999,1.26291,1.26625,361292.05
20040831,1.26581,1.2672,1.2556,1.26005,356892.3
20040901,1.25975,1.26513,1.2579,1.26089,360357.175
20040902,1.26068,1.27207,1.25765,1.27096,358250.201
20040905,1.27077,1.2719,1.26917,1.27032,355544.655
20040906,1.27024,1.27188,1.26568,1.26662,354658.251
20040907,1.26641,1.27886,1.25937,1.26015,359685.772
20040908,1.25983,1.26611,1.25865,1.26138,358992.825
20040909,1.26103,1.2626,1.25205,1.25806,358498.526
20040912,1.25722,1.2618,1.25497,1.25844,352775.326
20040913,1.25807,1.26381,1.25455,1.25833,356396.475
20040914,1.25793,1.27154,1.2567,1.26951,356076.877
20040915,1.26934,1.27438,1.26492,1.26845,357488.625
20040916,1.26833,1.27225,1.26566,1.2676,356580.55
20040919,1.26804,1.27725,1.26785,1.27115,355236.106
20040920,1.27079,1.27354,1.25199,1.25329,356719.275
20040921,1.25306,1.26511,1.2528,1.2592,351582.85
20040922,1.25909,1.26251,1.25406,1.26013,358709.35
20040923,1.25978,1.26506,1.2512,1.26101,355399.904
20040926,1.25985,1.26464,1.2579,1.2609,360307.595
20040927,1.2609,1.26274,1.25556,1.25864,356462.124
20040928,1.25852,1.26376,1.25688,1.25881,358126.675
20040929,1.25871,1.26106,1.24398,1.2457,353620.476
20040930,1.24558,1.2518,1.24482,1.24922,361565.45
20041003,1.24874,1.26767,1.24874,1.26434,358612.401
20041004,1.26383,1.26637,1.25965,1.26161,360707.625
20041005,1.2615,1.26819,1.2608,1.26409,354759.0264
20041006,1.26393,1.26593,1.26104,1.26403,357628.476
20041007,1.26373,1.26441,1.24645,1.25043,352677.972
20041010,1.24863,1.2527,1.24809,1.25042,354377.37
20041011,1.25035,1.26032,1.2494,1.25516,357508.82
20041012,1.25496,1.2658,1.25027,1.2512,358675.675
20041013,1.25084,1.25445,1.24272,1.24455,360135.251
20041014,1.2443,1.24531,1.23153,1.23332,357873.775
20041017,1.23225,1.23527,1.22679,1.23095,353797.226
20041018,1.23092,1.23656,1.22797,1.22908,354963.225
20041019,1.2289,1.23097,1.21675,1.22084,358762.776
20041020,1.22048,1.2225,1.21473,1.21725,363991.149
20041021,1.21702,1.2208,1.20951,1.21014,357895.576
20041024,1.20882,1.20887,1.19375,1.19607,358413.829
20041025,1.19597,1.20484,1.19234,1.20081,354060.125
20041026,1.20055,1.20873,1.19482,1.20619,352101.25
20041027,1.20603,1.21287,1.1963,1.20012,359005.445
20041028,1.19995,1.20336,1.19346,1.19407,358120.2
20041031,1.19301,1.2047,1.19084,1.20176,355229.526
20041101,1.20168,1.21146,1.20059,1.20155,356761.65
20041102,1.20167,1.21185,1.1925,1.19345,357656.149
20041103,1.19331,1.19622,1.18371,1.18731,353547.875
20041104,1.18747,1.19863,1.17674,1.17715,351200.974
20041107,1.17697,1.18388,1.17549,1.18066,359362.3
20041108,1.18082,1.18573,1.1797,1.18295,354806.3
20041109,1.18295,1.18534,1.1698,1.1814,350309.575
20041110,1.18137,1.18329,1.17589,1.17742,358623.4
20041111,1.17728,1.18169,1.16892,1.17175,360022.2
20041114,1.1716,1.1817,1.16963,1.17875,356263.925
20041115,1.17874,1.18107,1.1723,1.17571,353039.226
20041116,1.17587,1.17657,1.16042,1.16255,356800.05
20041117,1.16243,1.1734,1.15984,1.1708,355351.325
20041118,1.17064,1.17214,1.15795,1.16129,356505.849
20041121,1.15967,1.16426,1.15868,1.16234,356152.776
20041122,1.16221,1.16959,1.15601,1.15787,356449.575
20041123,1.15793,1.15862,1.1443,1.14503,354833.83
20041124,1.14503,1.1467,1.13767,1.13897,346798.349
20041125,1.13957,1.1488,1.13333,1.13882,346704.25
20041128,1.14155,1.14707,1.13813,1.14159,351094.475
20041129,1.14148,1.14565,1.13237,1.14082,349733.475
20041130,1.14072,1.14517,1.13495,1.14002,348671.15
20041201,1.14022,1.15551,1.13639,1.1514,356641.925
20041202,1.15143,1.15281,1.1299,1.13088,355575.22
20041205,1.13145,1.14261,1.12905,1.14047,346155.926
20041206,1.14054,1.14253,1.13343,1.14131,352150.775
20041207,1.14116,1.16334,1.13512,1.14875,351855.845
20041208,1.14865,1.15631,1.14508,1.14995,353360.551
20041209,1.14988,1.16819,1.14924,1.15997,348471.173
20041212,1.1626,1.16346,1.15156,1.15367,351118.621
20041213,1.15363,1.15882,1.15132,1.15422,349421.4
20041214,1.1542,1.15728,1.13849,1.14217,353720.25
20041215,1.14185,1.16188,1.13733,1.15856,353582.5
20041216,1.15852,1.16173,1.15192,1.1569,350587.901
20041219,1.15452,1.15728,1.14553,1.14936,346044.698
20041220,1.14934,1.15396,1.14747,1.15348,352311.025
20041221,1.15362,1.15601,1.14998,1.15272,349263.894
20041222,1.15268,1.15318,1.14238,1.14318,357046.149
20041223,1.14308,1.14541,1.13914,1.1431,354784.65
20041226,1.1426,1.14483,1.13267,1.13513,349340.876
20041227,1.13493,1.13726,1.12991,1.13323,351297.177
20041228,1.13323,1.13853,1.13056,1.13347,355514.95
20041229,1.13337,1.13819,1.12787,1.13198,346009.752
20041230,1.13193,1.14195,1.12707,1.14033,300353.875
20050102,1.14038,1.15507,1.13713,1.14792,354252.026
20050103,1.14785,1.17094,1.14408,1.16729,348155.301
20050104,1.16726,1.17577,1.16467,1.16795,352760.876
20050105,1.16794,1.17758,1.16614,1.17466,349967.125
20050106,1.17465,1.18864,1.16727,1.18435,355564.2994
20050109,1.18405,1.18521,1.17834,1.18235,349855.251
20050110,1.18233,1.18363,1.17298,1.1833,353412.28
20050111,1.18333,1.18396,1.16253,1.16806,354308.4
20050112,1.16803,1.17398,1.16631,1.17123,356252.275
20050113,1.17114,1.18674,1.17103,1.17944,348126.17
20050116,1.18036,1.18349,1.17473,1.18304,351682.025
20050117,1.18304,1.19031,1.1803,1.18552,244522.226
20050118,1.1853,1.18977,1.17485,1.18558,342211.626
20050119,1.1857,1.19231,1.18308,1.18995,354151.575
20050120,1.18988,1.19651,1.18354,1.18545,348530.575
20050123,1.18584,1.1869,1.1789,1.18292,351760.551
20050124,1.1828,1.19693,1.1803,1.19277,349234.35
20050125,1.19272,1.19391,1.18017,1.18363,349332.845
20050126,1.18358,1.18805,1.17786,1.18374,350145.375
20050127,1.18365,1.19196,1.18139,1.18638,349742.826
20050130,1.18751,1.19405,1.18538,1.18861,354500.206
20050131,1.18862,1.19539,1.18577,1.19048,352101.575
20050201,1.19042,1.19607,1.18551,1.19259,353347.8
20050202,1.19257,1.20474,1.19112,1.20186,352334.05
20050203,1.2018,1.21176,1.19514,1.21107,350351.6
20050206,1.21174,1.22601,1.21001,1.22434,349719.276
20050207,1.22435,1.22525,1.21811,1.2215,348896.655
20050208,1.22135,1.22343,1.21488,1.21638,352916.4003
20050209,1.21634,1.2241,1.20365,1.20831,353239.625
20050210,1.20818,1.21175,1.20426,1.2105,348741.748
20050213,1.20915,1.20925,1.19603,1.19775,351453.949
20050214,1.19772,1.19983,1.1877,1.18947,349729.126
20050215,1.18934,1.19443,1.18303,1.18693,353911.6
20050216,1.18693,1.18946,1.17979,1.18388,350650.255
20050217,1.18395,1.1893,1.18107,1.18268,349660.323
20050220,1.18484,1.18575,1.1805,1.18163,353948.598
20050221,1.18164,1.18376,1.15747,1.15798,354283.775
20050222,1.15793,1.1667,1.15701,1.16317,354610.125
20050223,1.16321,1.17175,1.1591,1.16887,351775.525
20050224,1.16883,1.17374,1.16108,1.16168,348286.869
20050227,1.16137,1.16368,1.15757,1.16297,352665.275
20050228,1.16285,1.16841,1.16049,1.16464,351144.525
20050301,1.1647,1.17745,1.16305,1.17312,352902.875
20050302,1.17303,1.1824,1.17273,1.18084,355090.7
20050303,1.18082,1.18204,1.16633,1.1693,351690.302
20050306,1.1686,1.1778,1.16795,1.17459,348687
20050307,1.17458,1.1755,1.1582,1.16132,348391.825
20050308,1.16138,1.16452,1.15519,1.15852,353513.65
20050309,1.15852,1.16059,1.1512,1.15371,355947.5
20050310,1.15357,1.15619,1.14811,1.1501,347569.021
20050313,1.14975,1.16372,1.14816,1.15927,352244.274
20050314,1.15923,1.16698,1.15556,1.16504,352221.3
20050315,1.16507,1.16646,1.15018,1.15236,356136.47
20050316,1.15225,1.15946,1.15167,1.1565,351187.926
20050317,1.15633,1.16858,1.15624,1.16358,351771.302
20050320,1.16403,1.18076,1.16376,1.17822,348145.651
20050321,1.17828,1.19172,1.17429,1.18759,352384.976
20050322,1.18753,1.19873,1.18736,1.19583,360716.3
20050323,1.19567,1.20143,1.19121,1.20107,356663.825
20050324,1.20133,1.2026,1.19768,1.19913,350905.252
20050327,1.19914,1.20818,1.19802,1.20342,364426.925
20050328,1.20337,1.20522,1.19728,1.20145,366632.625
20050329,1.20155,1.20171,1.19219,1.20001,370326.5
20050330,1.19991,1.20051,1.18921,1.19637,367447.449
20050331,1.19625,1.20738,1.18905,1.20229,363508.5
20050403,1.20235,1.21239,1.20235,1.20914,371112.323
20050404,1.20914,1.21415,1.20356,1.20458,370422
20050405,1.2044,1.20817,1.20053,1.20525,366486.131
20050406,1.2048,1.2079,1.19718,1.20652,409254.951
20050407,1.20624,1.21112,1.19633,1.19687,366906.48
20050410,1.1966,1.19962,1.18934,1.19337,370278.501
20050411,1.19309,1.20435,1.19042,1.19841,361654.573
20050412,1.19828,1.20736,1.19453,1.19937,358747.376
20050413,1.1994,1.21924,1.19809,1.21367,356770.125
20050414,1.21357,1.21668,1.19879,1.19962,352103.324
20050417,1.20036,1.20414,1.18488,1.18733,359144.349
20050418,1.18719,1.1904,1.17881,1.18013,355550.75
20050419,1.18002,1.18903,1.17586,1.17785,357861.099
20050420,1.17761,1.18549,1.17374,1.1829,357096.9
20050421,1.18249,1.18537,1.17779,1.18082,356688.675
20050424,1.18023,1.19184,1.17995,1.18693,358355.5
20050425,1.18654,1.19118,1.18528,1.18657,357604.875
20050426,1.18639,1.19619,1.1854,1.19231,358236.08
20050427,1.19208,1.19545,1.18819,1.19267,360882.3
