DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
20040101,107.422,107.481,106.695,107.02,604275.5
20040104,107.026,107.294,106.004,106.163,611109.6
20040105,106.178,106.374,105.974,106.135,613202.7
20040106,106.148,106.404,105.883,106.146,616836.8
20040107,106.152,106.239,106.047,106.149,609784.8
20040108,106.162,108.193,106.065,106.746,612354.9
20040111,106.58,106.726,106.313,106.602,618513.8
20040112,106.616,106.705,106.1,106.17,618227.9
20040113,106.182,106.311,105.941,106.138,625842.3
20040114,106.13,106.463,105.95,106.318,624843.8
20040115,106.306,106.99,105.712,106.586,627821.8
20040118,106.59,107.459,106.334,107.2,624738.4
20040119,107.215,107.88,106.939,107.042,633320
20040120,107.043,107.266,106.569,106.862,627496.1
20040121,106.866,106.996,105.918,106.001,627588.6
20040122,106.021,106.798,105.724,106.701,629581.7
20040125,106.548,106.711,105.768,106.341,626582
20040126,106.355,106.411,105.448,105.495,604622.3
20040127,105.497,106.553,105.422,106.183,625996.8
20040128,106.222,106.291,105.622,105.918,625252.3
20040129,105.933,106.108,105.584,105.656,632151.2
20040201,105.585,105.78,105.363,105.508,618280.7
20040202,105.58,105.808,105.207,105.433,628571.6
20040203,105.432,105.632,105.242,105.384,626111.9
20040204,105.405,106.034,105.348,105.761,626200.8
20040205,105.777,106.774,105.354,105.425,630623.6
20040208,105.63,106.022,105.487,105.54,628918.5
20040209,105.567,105.865,105.3,105.57,636242.2
20040210,105.553,105.693,105.142,105.395,628316.3
20040211,105.412,105.566,105.234,105.335,624199.6
20040212,105.336,105.588,105.244,105.409,617642.4
20040215,105.439,105.538,105.33,105.442,608856.2
20040216,105.461,105.96,105.401,105.622,617394
20040217,105.637,107.098,105.482,106.705,626126.9
20040218,106.718,107.404,106.27,107,624579.2
20040219,107,109.32,106.833,108.996,630671.7
20040222,108.945,109.353,108.039,108.324,630336.4
20040223,108.322,108.719,108.002,108.148,631421.7
20040224,108.143,109.106,108.016,108.956,624756.4
20040225,108.972,109.792,108.721,109.501,632942.5
20040226,109.5,109.678,108.864,109.108,633045.9
20040229,109.023,109.396,108.843,108.944,635326.3
20040301,108.953,110.392,108.881,110.035,624456.5
20040302,110.064,110.498,109.968,110.032,633143
20040303,110.022,111.135,109.999,111.044,628768.1
20040304,111.067,112.266,110.942,111.979,628786.2
20040307,112.065,112.276,111.076,111.135,628503.5
20040308,111.144,111.586,110.224,111.272,629417.8
20040309,111.257,111.52,110.684,110.831,623864.1
20040310,110.883,111.067,110.41,110.72,631685.9
20040311,110.717,111.36,110.586,110.75,621679.8
20040314,110.664,111.044,109.177,110.296,626154.3
20040315,110.283,110.35,108.598,108.7,633296.8
20040316,108.727,108.952,107.948,108.248,628056.7
20040317,108.248,108.348,106.373,106.802,630848.1
20040318,106.834,107.279,106.597,106.664,625239.6
20040321,106.789,107.634,106.682,106.878,623039.9
20040322,106.866,106.922,106.434,106.722,628068.6
20040323,106.734,106.93,106.004,106.2,623364.5
20040324,106.208,106.451,105.739,106.14,634309.6
20040325,106.146,106.222,105.493,105.982,628863.4
20040328,105.509,105.91,105.236,105.49,631770.1
20040329,105.488,106.199,105.364,105.721,610500.2
20040330,105.723,105.897,103.416,104.19,634497.3
20040331,104.185,104.471,103.45,103.623,628859
20040401,103.646,104.728,103.626,104.436,630662.2
20040404,104.453,105.429,104.104,104.863,627767.3
20040405,104.868,107.15,104.858,105.69,631659.1
20040406,105.67,106.131,104.945,105.198,634298.5
20040407,105.189,106.399,105.18,106.245,630414.2
20040408,106.25,106.756,105.931,106.34,525995.5
20040411,106.334,106.431,105.234,105.334,623390
20040412,105.378,107.004,105.025,106.514,627825.8
20040413,106.527,108.978,106.527,108.589,638052.5
20040414,108.59,109.212,108.211,108.241,640136.8
20040415,108.247,108.864,107.476,107.747,642085.4
20040418,107.678,108.674,107.583,108.385,624441.8
20040419,108.373,108.858,107.656,108.722,634008.1
20040420,108.755,109.741,108.537,109.341,634393.7
