"DATE" "OPENAUDUSD" "HIGHAUDUSD" "LOWAUDUSD" "CLOSEAUDUSD" "VOLUMEAUDUSD" "OPENEURUSD" "HIGHEURUSD" "LOWEURUSD" "CLOSEEURUSD" "VOLUMEEURUSD" "OPENGBPUSD" "HIGHGBPUSD" "LOWGBPUSD" "CLOSEGBPUSD" "VOLUMEGBPUSD" "OPENUSDCAD" "HIGHUSDCAD" "LOWUSDCAD" "CLOSEUSDCAD" "VOLUMEUSDCAD" "OPENUSDCHF" "HIGHUSDCHF" "LOWUSDCHF" "CLOSEUSDCHF" "VOLUMEUSDCHF" "OPENUSDJPY" "HIGHUSDJPY" "LOWUSDJPY" "CLOSEUSDJPY" "VOLUMEUSDJPY"
"1" 20040101 0.75102 0.75915 0.74939 0.75737 136338.85 1.2542 1.26263 1.25198 1.25806 1337402.5 1.78282 1.79467 1.77832 1.79294 153500.424 1.29585 1.29785 1.28609 1.28758 168909.45 1.2439 1.24538 1.23408 1.23874 351393.595 107.422 107.481 106.695 107.02 604275.5
"2" 20040104 0.75793 0.769 0.75719 0.76719 151371.57 1.25816 1.26924 1.25785 1.26727 1354226 1.79155 1.81013 1.79143 1.80636 154988.259 1.28678 1.28889 1.27722 1.28148 188925.67 1.23838 1.23918 1.2282 1.23184 360456.726 107.026 107.294 106.004 106.163 611109.6
"3" 20040105 0.76766 0.77265 0.76553 0.7691 142447.03 1.2672 1.28083 1.2665 1.2723 1349584.7 1.80633 1.82746 1.80439 1.82125 163951.018 1.28143 1.28633 1.27653 1.28566 185475.66 1.23174 1.23344 1.22403 1.23118 354080.951 106.178 106.374 105.974 106.135 613202.7
"4" 20040106 0.76912 0.77055 0.76477 0.7678 136009.45 1.2723 1.27404 1.26221 1.26296 1348413.5 1.8213 1.82556 1.81189 1.81747 162633.819 1.28573 1.29235 1.28385 1.28816 193357.13 1.23145 1.24097 1.2303 1.24048 358794.526 106.148 106.404 105.883 106.146 616836.8
"5" 20040107 0.76778 0.77571 0.76473 0.77502 146305.934 1.2629 1.27786 1.25576 1.27635 1350773.3 1.81773 1.836 1.81032 1.83351 171656.897 1.28832 1.29471 1.27486 1.27816 188425.6 1.24015 1.24844 1.22379 1.22569 356653.375 106.152 106.239 106.047 106.149 609784.8
"6" 20040108 0.77507 0.7783 0.77064 0.77609 141148.27 1.27637 1.28665 1.27021 1.28123 1336174.4 1.8333 1.84938 1.82752 1.8474 161267.177 1.27822 1.28304 1.26768 1.27133 183645.62 1.22516 1.23318 1.21623 1.22212 355831.775 106.162 108.193 106.065 106.746 612354.9
"7" 20040111 0.77713 0.77995 0.77436 0.7769 150871.46 1.28522 1.28956 1.27328 1.27467 1337453.5 1.84698 1.85759 1.84467 1.84545 161090.2699 1.27054 1.2766 1.26835 1.27522 184447.63 1.21836 1.2287 1.21367 1.22681 351508.87 106.58 106.726 106.313 106.602 618513.8
"8" 20040112 0.77705 0.78115 0.77449 0.77869 144893.2 1.27457 1.27947 1.27114 1.27698 1348261.7 1.8455 1.85339 1.8397 1.8473 165412.339 1.2749 1.27821 1.26869 1.2711 194750.81 1.2269 1.23024 1.22024 1.2209 361914.35 106.616 106.705 106.1 106.17 618227.9
"9" 20040113 0.77862 0.78011 0.77278 0.77289 133330.51 1.2772 1.27871 1.26276 1.26447 1338604.4 1.84703 1.84857 1.83092 1.83251 158815.56 1.27148 1.29117 1.27034 1.28977 191047.14 1.2208 1.23535 1.21852 1.2324 362650.148 106.182 106.311 105.941 106.138 625842.3
"10" 20040114 0.77326 0.77665 0.76838 0.76999 145861.904 1.2644 1.26693 1.25562 1.25756 1357261 1.83269 1.83451 1.81766 1.8222 160775.794 1.28979 1.29898 1.28668 1.29374 187833.63 1.2323 1.2472 1.23042 1.24525 360548.751 106.13 106.463 105.95 106.318 624843.8
